Id,Bound
812,0
813,0
814,1
815,1
816,1
817,0
818,1
819,1
820,1
821,0
822,1
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,0
831,1
832,0
833,0
834,0
835,0
836,1
837,1
838,0
839,1
840,1
841,1
842,1
843,1
844,0
845,1
846,1
847,1
848,0
849,0
850,0
851,1
852,0
853,0
854,1
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,1
864,1
865,0
866,1
867,1
868,0
869,1
870,1
871,0
872,0
873,1
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,1
890,0
891,1
892,1
893,1
894,0
895,1
896,1
897,0
898,1
899,0
900,0
901,1
902,1
903,0
904,1
905,0
906,1
907,0
908,1
909,1
910,0
911,0
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,0
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,1
928,1
929,0
930,1
931,1
932,0
933,1
934,1
935,0
936,1
937,0
938,1
939,0
940,0
941,0
942,1
943,1
944,1
945,0
946,1
947,1
948,0
949,1
950,1
951,1
952,0
953,1
954,0
955,1
956,0
957,1
958,1
959,0
960,0
961,0
962,1
963,1
964,0
965,0
966,1
967,1
968,1
969,1
970,0
971,1
972,0
973,1
974,0
975,1
976,0
977,1
978,0
979,1
980,0
981,0
982,1
983,1
984,0
985,0
986,0
987,1
988,1
989,1
990,0
991,0
992,1
993,1
994,0
995,0
996,0
997,0
998,1
999,1
